model,seed,accuracy,macro_f1,weighted_f1
majority,0,0.5252525252525253,0.22958057395143486,0.36176332865074584
tfidf_logreg,0,0.5454545454545454,0.3863004461043677,0.4696532709604605
to_hetero_sage,0,0.6565656565656566,0.46787439613526577,0.5731152100717318
hgt,0,0.9494949494949495,0.9468013468013469,0.950147944087338
majority,1,0.5353535353535354,0.23245614035087717,0.37333864965443914
tfidf_logreg,1,0.5656565656565656,0.39580588493631974,0.48853488774437387
to_hetero_sage,1,0.797979797979798,0.6115384615384616,0.759013209013209
hgt,1,0.5858585858585859,0.3258328972614687,0.4740973312401884
majority,2,0.6060606060606061,0.25157232704402516,0.4574042309891367
tfidf_logreg,2,0.6565656565656566,0.5303112854600268,0.6329393972414566
to_hetero_sage,2,0.7474747474747475,0.5248548199767712,0.6882061028402492
hgt,2,0.9393939393939394,0.9150754412268854,0.9371879457749871
